Título do trabalho,Link,Veículo,Autores(as) do trabalho,Resumo do trabalho
42% das crianças e adolescentes que sofrem abuso sexual são vítimas recorrentes,https://www1.folha.uol.com.br/cotidiano/2019/09/42-das-criancas-e-adolescentes-que-sofrem-abuso-sexual-sao-vitimas-recorrentes.shtml,Folha de S. Paulo,Marina Gama Cubas; Thiago Amâncio,"A reportagem mostrou como a violência sexual contra crianças e adolescentes é um problema estrutural e recorrentes no Brasil. 42% das vítimas de abusos sexuais passam por essa violência mais de uma vez em sua vida, de acordo com os dados de 2018 do Ministério da Saúde obtidos via Lei de Acesso à Informação – e que posteriormente foram disponibilizados no Sinan/Datasus. A reportagem se preocupou em trazer um rosto para esse número, contando a história de uma mulher que viveu exatamente o que os números contavam. Além disso, o material mostrou a evolução do número de registros no decorrer dos anos e o perfil do agressor, vítima e o local do crime. A matéria também teve um caráter de serviço ao leitor, trazendo informações importantes que permitem orientar aqueles que sofrem ou conhecem alguém que sofre essa violência. "
Lives de Bolsonaro priorizaram pesca mesmo em meio à pandemia do coronavírus,https://www1.folha.uol.com.br/poder/2020/04/lives-de-bolsonaro-priorizavam-pesca-mesmo-em-meio-a-epidemia-do-coronavirus.shtml,Folha de S. Paulo,"Diana Yukari, Fábio Takahashi, Guilherme Garcia","A infografia mostra que, enquanto a doença se espalhava pelo mundo e também no Brasil, Bolsonaro despendia grande parte de suas falas a assuntos relacionados a pesca. Na versão digital, além de ser possível ver a evolução da importância dos temas ao longo das semanas, é possível ouvir também trechos de suas falas."
Brasil é o país mais isolado musicalmente no mundo,https://www1.folha.uol.com.br/ilustrada/2019/10/brasil-e-o-pais-mais-isolado-musicalmente-no-mundo.shtml,Folha de S. Paulo,Daniel Mariani; Fábio Takahashi; Simon Ducroquet; Lucas Brêda,"O estudo, inédito, considerou 43,4 mil músicas que entraram nas listas diárias de hits do Spotify no mundo todo e revelou que o Brasil é um caso sui generis, pois em grande parte tem sucessos que são conhecidos apenas aqui e permite pouca entrada de sucessos internacionais. Mesmo a língua não explica completamente o fenômeno, pois Portugal é muito mais aberto ao exterior. Uma segunda reportagem debateu as causas desse isolamento (https://www1.folha.uol.com.br/ilustrada/2019/10/brasileiros-sao-os-que-mais-ouvem-a-propria-musica-entre-todos-os-paises.shtml)."
Chuvas e secas em São Paulo estão mais intensas com aquecimento,https://www1.folha.uol.com.br/cotidiano/2020/03/chuvas-e-secas-em-sao-paulo-estao-mais-intensas-com-aquecimento-mostram-dados.shtml,Folha de S. Paulo,Fábio Takahashi; Guilherme Garcia; Guilherme Seto; Thiago Amâncio; Diana Yukari,"Análise de 60 anos de dados de chuva e temperatura na cidade de São Paulo mostrou a mudança climática na cidade, que passou a ter chuvas mais intensas, alternadas com períodos maiores de seca, além de temperaturas mais altas, mesmo durante a madrugada. Para dar contexto e sentido para os dados, a reportagem trouxe entrevistas com especialistas e resultados de trabalhos acadêmicos, que mostrou o impacto dessa nova dinâmica climática no cotidiano da cidade (mais alagamentos, mais mortes de idosos por infarto). A apuração levou quase dois meses, envolvendo a equipe de dados, repórter de Cotidiano (cidades), infografista e consultas constantes a um dos principais climatologistas do país, José Marengo, para afinar a metodologia."
1 em cada 10 escolas privadas de SP não tem nenhum professor negro,https://www1.folha.uol.com.br/cotidiano/2020/09/1-em-cada-10-escolas-privadas-de-sp-nao-tem-nenhum-professor-negro.shtml,Folha de S. Paulo,Daniel Mariani; Diana Yukari; Érica Fraga; Fábio Takahashi; Isabela Palhares; Leonardo Diegues,"Reportagem foi a primeira a trazer dados objetivos, gerais e por colégio, a uma discussão que ganha força rapidamente nos colégios particulares, o movimento “Escolas Antirracistas”. Tão importante quanto os dados para a reportagem foram as dezenas de fontes consultadas, por meio de entrevistas e trabalhos acadêmicos, o que trouxe uma visão ampla da segregação das escolas particulares de São Paulo.

"
42% das crianças e adolescentes que sofrem abuso sexual são vítimas recorrentes,https://www1.folha.uol.com.br/cotidiano/2019/09/42-das-criancas-e-adolescentes-que-sofrem-abuso-sexual-sao-vitimas-recorrentes.shtml,Folha de S.Paulo,Marina Gama Cubas; Thiago Amâncio,"A reportagem mostrou como a violência sexual contra crianças e adolescentes é um problema estrutural e recorrentes no Brasil. 42% das vítimas de abusos sexuais passam por essa violência mais de uma vez em sua vida, de acordo com os microdados de 2018 do Ministério da Saúde obtidos via Lei de Acesso à Informação – e que posteriormente foram disponibilizados no Datasus. A reportagem se preocupou em trazer um rosto para esse número, contando a história de uma mulher que viveu exatamente o que os números contavam. Além disso, o material mostrou a evolução do número de registros no decorrer dos anos e o perfil do agressor, vítima e o local do crime. A matéria também teve um caráter de serviço ao leitor, trazendo informações importantes que permitem orientar aqueles que sofrem ou conhecem alguém que sofre essa violência. "
O impacto dos tribunais superiores nas prisões após segunda instância,https://www1.folha.uol.com.br/poder/2019/10/maioria-dos-recursos-apos-2a-instancia-e-julgada-em-ate-1-ano-no-stj-e-no-supremo.shtml;https://www1.folha.uol.com.br/poder/2019/10/uma-em-cada-tres-decisoes-judiciais-em-segunda-instancia-e-alterada-no-stj.shtml;https://www1.folha.uol.com.br/poder/2019/11/defensoria-publica-supera-advogados-particulares-em-casos-revistos-por-stj-e-stf.shtml,Folha de S.Paulo,Flávia Faria; Guilherme Garcia; Diana Yukari,"Reportagens analisaram o tempo de tramitação e o percentual de reversão das sentenças criminais no STJ e no STF, mostrando que o impacto dos tribunais superiores no destino final dos réus condenados em segunda instância é relevante."
Subnotificação da Covid-19,https://www1.folha.uol.com.br/equilibrioesaude/2020/05/base-de-dados-de-cartorios-traz-falhas-que-impedem-calcular-efeito-real-do-coronavirus-no-brasil.shtml;https://www1.folha.uol.com.br/equilibrioesaude/2020/05/meio-milhao-de-mortes-somem-de-sistema-usado-para-monitorar-covid-19.shtml;https://www1.folha.uol.com.br/equilibrioesaude/2020/05/dados-do-governo-indicam-140-a-mais-de-mortes-por-covid-no-pais.shtml;https://www1.folha.uol.com.br/equilibrioesaude/2020/06/subnotificacao-de-6000-mortes-por-coronavirus-pode-ter-sido-causada-por-falha-em-testes.shtml,Folha de S.Paulo,Leonardo Dieugues;Flávia Faria;Diana Yukari;FábioTakahashi,"Conjunto de reportagens sobre mortes por Covid-19 se destaca por quantificar a subnotificação a partir de método estatístico com respaldo internacional, achar explicações para o problema e lançar luz sobre os desafios de dimensionar a pandemia quando a qualidade dos dados oficiais deixa a desejar. "
Mapa do coronavírus,https://especiais.g1.globo.com/bemestar/coronavirus/mapa-coronavirus/,G1,"Amanda Polato; Camila Rodrigues; Thiago Reis; Vitor Sorano; Fábio Tito; Felipe Neri; Felipe Grandin; Gabriela Caesar; Gustavo Petró; Megui Donadoni; Sarah Resende; Rafael Miotto; Ricardo Gallo; Guilherme Gomes; Antonio Lima; Carlos Lemos; Igor Apolinário; Junior Veroneze; Ricardo Periago; Janine Brasil e Tácita Muniz (G1 AC); Cau Rodrigues (G1 AL); Andrezza Lifsitch, Diego Toledano e Isabella Pina e Victor Cruz (G1 AM); Fabiana Figueiredo e John Pacheco (G1 AP); Danutta Rodrigues, Gabriel Gonçalves, Itana Alencar e João Souza (G1 BA); Aline Conde, Geovana Rodrigues, Maraiana Lazari e André Teixeira (G1 CE); Marília Marques e Pedro Alves (G1 DF); Naiara Arpini e Amaro Mota (G1 ES); Lis Lopes, Rafael Oliveira, Sílvio Túlio e Vanessa Martins (G1 GO); Rafaelle Fróes, João Ricardo Barbosa, Rafael Cardoso e Lucas Vieira (G1 MA); Cristina Moreno de Castro e Thais Leocádio (G1 MG); Anderson Viegas (G1 MS); Pollyana Araújo, Denise Soares, Flávia Borges e Kethlyn Moraes (G1 MT); Taymã Carneiro, Arthur Sobral, Gabriela Azevedo e Caio Maia (G1 PA); Diogo Almeida, Taiguara Rangel e Krys Carneiro (G1 PB); Luiza Mendonça, Marina Meireles, Bruno Marinho, Pedro Alves, Katherine Coutinho e Ricardo Novelino (G1 PE); Maria Romero e Catarina Costa (G1 PI); Thais Kaniak, Pedro Brodbeck, Luciane Cordeiro, Mari Kateivas, Wesley Bichoff, Adriana Justi, Letícia Paris, Ederson Hising e Natalia Filippin (G1 PR); Eduardo Pierre, José Raphael Berredo e Nicolás Satriano (G1 RJ); Fernanda Zauli, Rafael Barbosa, Igor Jácome, Leonardo Erys e Bruno Vital (G1 RN); Carolina Cattaneo, Fabiana Bonugli, Gabriela Clemente, Janaína Lopes, Lilian Lima, Maria Eugenia Bofill e Matheus Beck (G1 RS); Ana Kézia Gomes, Daniele Lira, Jonatas Boni e Mayara Subtil (G1 RO); Valéria Oliveira, Polyana Girardi e Fabrício Araújo (G1 RR); Anaísa Catucci, Carolina Holland, Karollayne Rosa, Valéria Martins e Joana Caldas (G1 SC); Anderson Barbosa, Jéssica França e Joelma Gonçalves (G1 SE); Gabriela Gonçalves (G1 SP); Vilma Nascimento e João Guilherme Lobasz (G1 TO)","Um mapa exclusivo reúne dados de casos e mortes por Covid-19 em todos os municípios do Brasil, números e a média móvel de casos e mortes nos 27 estados do país, além dos registros em todos os países do mundo."
O voto dos vereadores,https://g1.globo.com/politica/noticia/2020/08/18/o-voto-dos-vereadores.ghtml,G1,"Alexandre Mauro, Antonio Lima, Bárbara Muniz Vieira, Cíntia Acayaba, Cristina Moreno de Castro, Gabriel Barreira, Gabriela Caesar, Guilherme Gomes, Igor Apolinário, José Raphael Berrêdo, Junior Veroneze, Luiza Mendonça, Paula Paiva Paulo, Pedro Alves Junior, Thaís Leocádio e Thiago Reis","O projeto ""O voto dos vereadores"" mostra o posicionamento de cada vereador nas principais votações das Câmaras Municipais de quatro capitais durante a atual legislatura – que teve início em janeiro de 2017 e se encerra em dezembro deste ano. As páginas especiais reúnem dados de Rio de Janeiro, São Paulo, Belo Horizonte e Recife."
"Estados compram 7 mil respiradores, mas menos da metade é entregue; valor de cada equipamento varia de R$ 40 mil a R$ 226 mil no país",https://g1.globo.com/bemestar/coronavirus/noticia/2020/06/26/estados-compram-7-mil-respiradores-mas-menos-da-metade-e-entregue-valor-de-cada-equipamento-varia-de-r-40-mil-a-r-226-mil-no-pais.ghtml,G1,"Clara Velasco, Gabriela Caesar e Thiago Reis","Trata-se de um levantamento inédito e exclusivo feito no Brasil sobre um dos mais importantes equipamentos utilizados durante a pandemia do novo coronavírus. Os dados mostram que, em pleno pico da doença, menos da metade dos respiradores comprados foi entregue nos estados."
"Turmas do STJ negam prisão domiciliar a foragidos em mais de 95% dos casos, diz levantamento",https://g1.globo.com/politica/noticia/2020/07/11/turmas-do-stj-negam-prisao-domiciliar-a-foragidos-em-mais-de-95percent-dos-casos-diz-levantamento.ghtml,G1- Portal de Notícias da Globo,Rosanne D'Agostino,"A reportagem, por meio de levantamento inédito, revela a seletividade da Justiça brasileira no episódio da prisão domiciliar concedida ao ex-assessor Fabricio Queiroz e sua mulher, Marcia Aguiar."
"No Brasil, 63% das casas chefiadas por mulheres negras estão abaixo da linha da pobreza",http://www.generonumero.media/casas-mulheres-negras-pobreza/,Gênero e Número,Flávia Bozza Martins; Lola Ferreira; Maria Martha Bruno,"No Brasil, 63% das casas comandadas por mulheres negras com filhos de até 14 anos estão abaixo da linha da pobreza, vivendo com US$ 5,5 per capita ao dia, segundo dados do IBGE do final de 2019. Duas moradoras do município de Magé (RJ), zona rural e periférica muito mais esquecida que as grandes favelas da capitais brasileiras, dão rosto e voz a este dado, que representa mais que o dobro de pontos percentuais se comparado à média nacional, igualmente alarmante: 25% de toda a população estava abaixo da linha da pobreza em 2019. Para mulheres brancas e com filhos, a proporção de casas abaixo da linha da pobreza é de 39,6%. "
Amazônia Minada ,https://twitter.com/amazonia_minada,https://infoamazonia.org/pt/,Hyury Potter; Juliana Mori; Rodrigo Brabo; Fernando Eckestein.,"Amazônia Minada detecta em tempo real novos processos minerários dentro das 41 unidades de conservação de proteção integral sob gestão da União na Amazônia. Toda vez que um novo requerimento minerário é protocolado na Agência Nacional de Mineração (ANM) dentro dessas áreas protegidas, um tweet é enviado no perfil-robô @amazonia_minada com dados sobre o dono do processo, o minério a ser explorado e a unidade de conservação afetada. Projeto foi vencedor de uma bolsa 2019 News Innovation do ICFJ em parceria com o The Wall Street Journal. Em 2020, o Amazônia Minada recebeu apoio do Amazon Rainforest Journalism Fund e Pulitzer Center para ampliar a análise de dados minerários para terras indígenas, com previsão de publicação até o começo de novembro. "
"Distantes de UTIs e respiradores, indígenas da Amazônia tentam se blindar do vírus",https://infoamazonia.org/pt/2020/05/distantes-de-utis-e-respiradores-indigenas-da-amazonia-tentam-se-blindar-do-virus/#!/story=post-51141,InfoAmazonia,"Juliana Mori, Eduardo Geraque","Reportagem baseada em análise de dados inédita sobre acesso à saúde dos indígenas da Amazônia brasileira à equipamentos de saúde durante a pandemia de Covid-19.

"
Amazônia Sufocada,https://infoamazonia.org/pt/projects/portugues-amazonia-sufocada/ e https://twitter.com/botqueimadas,InfoAmazônia,"Juliana Mori, Rodrigo Menegat, Thadeu Melo, Guilherme Guerreiro Neto, Izabel Santos, Juliana Arini, Leandro Chaves","Amazônia Sufocada é a nossa cobertura especial de queimadas na região da Amazônia Legal. O projeto tem três frentes de atuação que, juntas, informam o público sobre a grave crise que se instala na Amazônia neste momento. O mapa interativo com visualização em tempo real dos focos de calor revela para o leitor quais são as áreas mais críticas na Amazônia, em 2020.

 Sobreposta a esses dados, uma camada de histórias geolocalizadas que reportam do chão a degradação observada via satélite. As reportagens e relatos locais, narrativas complementares aos dados, são obtidas com apoio de 4 jornalistas, produzindo notícias do Pará, Amazonas, Acre e Mato Grosso. As matérias ajudam a explicar os dados e os dados se conectam às matérias, feitas também a partir deles. A conexão entre ambos é o que o InfoAmazonia chama de geojornalismo, um componente forte da nossa produção.

 Além desta plataforma, a distribuição do conteúdo gerado pelo mapa do Amazônia Sufocada também ocorre via bot de Twitter, que envia mensagens diárias alertando os pontos críticos de fogo no mapa. Atualmente, são dois relatórios que, todos os dias, tuítam informações e mapas sobre focos de calor detectados em terras indígenas e unidades de conservação da região."
"Medo do vírus, medo da violência: mortes violentas crescem durante a quarentena",https://www.correio24horas.com.br/noticia/nid/medo-do-virus-medo-da-violencia-mortes-violentas-crescem-durante-a-quarentena/,Jornal Correio,Clarissa Pacheco,"A reportagem que analisa os números de crimes violentos letais intencionais (CVLIs) em Salvador e Região Metropolitana entre 17 de março e 30 de julho de 2020 faz parte da série de reportagens Mil Vidas, publicada pelo jornal CORREIO desde 2011. O recorte do período foi feito considerando o primeiro dia com medidas restritivas por conta do coronavírus e a data em que foi registrado o milésimo CVLI do ano em Salvador e RMS. Com base nos dados apresentados e ouvindo especialistas no assunto, a reportagem apontou que o número de mortes violentas cresceu, mesmo com a quarentena em vigor, e que a disputa entre grupos de traficantes e a maior demanda por drogas foram possíveis motores para esse crescimento."
"""Não costuma falhar"": caminhoneiros contam com a fé no combate à pandemia",https://jornaldebrasilia.com.br/cidades/nao-costuma-falhar-caminhoneiros-contam-com-a-fe-no-combate-a-pandemia/,Jornal de Brasília,Olavo David Neto; Vitor Mendonça,"A reportagem se focou na realidade vivida durante a pandemia pelo caminhoneiros, ou choferes, que representam um dos únicos meios de abastecimento para muitas cidades do país. Com relatos tanto dos órgãos estatais, quanto dos motoristas, foi possível traçar um paralelo entre a realidade e a letra fria de portarias e projetos. Foi possível, portanto, contar a história de quem vive de rodar as estradas do Brasil. "
Confere.ai,https://confereai.ne10.uol.com.br/#/consultar,Jornal do Commercio,"Alice de Souza, Dario Brito, Anthony Lins, Laís Arcanjo, Débora Oliveira, Matheus Marinho, Lucas Pitt, Avelino Gomez, Jarbas Agra e Pedro Brasil","O Confere.ai é um medidor de características de desinformação, que identifica padrões de conteúdos falsos ou enganosos em textos ou links de notícias que circulam nas redes sociais e internet. O projeto envolve a pesquisa, análise e formatação de um banco de dados com mais de 22 mil notícias, além do desenvolvimento de web crawlers e de uma inteligência computacional para análise e busca de padrões. Um dos projetos vencedores do Desafio de Inovação da Google News Initiative na América Latina, o Confere.ai também produz conteúdos educativos para ensinar o público a identificar conteúdos falsos ou enganosos. 

"
Do Belvedere para a favela: casos graves de Covid-19 viram problema da periferia em Belo Horizonte,https://www.otempo.com.br/cidades/do-belvedere-para-a-favela-casos-graves-de-covid-19-viram-problema-da-periferia-1.2381338,Jornal e portal O TEMPO,Cristiano Martins; Gabriel Rodrigues; Flávio Tavares,"Seis meses depois de desembarcar no bairro de classe alta Belvedere, o coronavírus se tornou definitivamente um problema mais sério nas áreas periféricas de Belo Horizonte. Uma análise realizada por O TEMPO revela que 49 dos 50 bairros mais afetados por casos graves de Covid-19 estão fora da região Centro-Sul e pelo menos 31 deles são favelas ou ocupações, incluindo o único localizado na zona mais nobre da capital."
‘Pablo Escobar Catarinense’: esquema de traficante revela influência de SC no tráfico de sintéticos no Brasil,https://ndmais.com.br/seguranca/policia/pablo-escobar-catarinense-esquema-de-traficante-revela-influencia-de-sc-no-trafico-de-sinteticos-no-brasil/,Jornal Notícias do Dia,Caroline Borges; Schirlei Alves,"Santa Catarina é protagonista no comércio de drogas sintéticas. Mas como contar essa história? Bem, os presos em grandes operações chamam a atenção de autoridades de segurança e um deles, apelidado pela polícia como Pablo Escobar catarinense, foi rastreado. Os agentes que trabalharam nesta operação ajudaram a contar como o crime acontece em SC, as rotas, o estilo de vida e as consequências. O texto traz relatos, dados de apreensões, número de overdoses e coloca luz a um problema cada vez mais presente: a matéria-prima e combustível essencial para a festa de muitos jovens no Estado é fabricada em locais improvisados em que não há segurança alguma - o que torna os sintéticos muito perigosos. "
Mortes em intervenção policial em 2019 não geraram denúncia,https://mais.opovo.com.br/jornal/cidades/2020/07/08/mortes-em-intervencao-policial-em-2019-nao-geraram-denuncia.html,Jornal O Povo,Lucas Barbosa,"A reportagem buscou o estado processual de cada uma das 51 mortes declaradas como decorrentes de oposição à intervenção policial ocorridas em Fortaleza no ano de 2019. Localizou 29 e constatou que, em nenhuma delas, houve denúncia do Ministério Público, mesmo em casos em que há indícios de abuso policial. Ainda trouxe balanço das investigações em andamento no ano de 2020"
86 pessoas mortas em quatro dias de terror,"https://mais.opovo.com.br/reportagens-especiais/2020/09/01/quatro-dias-de-terror.html#:~:text=Entre%2023%20e%2026%20de,registrados%20em%20todo%20o%20ano.",Jornal O Povo,Lucas Barbosa,"Entre 23 e 26 de agosto de 2018, 86 pessoas foram mortas no Estado, em uma média de 21,5 assassinatos por dia — número bem acima dos 12 Crimes Violentos Letais e Intencionais (CVLIs) por dia registrados em todo o ano. A maioria desses crimes segue sem elucidação dois anos depois, deixando sem explicação o que motivou a onda de violência daqueles dias. "
Covid-19 está entre as doenças que mais matam em cidades da Serra,http://pioneiro.clicrbs.com.br/rs/geral/noticia/2020/07/covid-19-esta-entre-as-doencas-que-mais-matam-em-cidades-da-serra-12534074.html,Jornal Pioneiro ,Aline Ecker ,"O levantamento aponta que pela primeira vez desde o início da epidemia do novo coronavírus municípios da Serra gaúcha passaram a ter a covid-19 como uma das principais causas de mortes. Os dados demonstram que o número de óbitos em decorrência do vírus superam, em algumas cidades, assassinatos e acidentes de trânsito. Em algumas situações, a infecção supera inclusive os óbitos por doença cardíaca, tradicionalmente conhecida como uma das enfermidades que mais mata no Brasil e no mundo."
Aprovômetro JOTA,"Ferramenta: https://www.jota.info/minha-conta/produtos/relatorios/aprovometro; matéria recente: https://www.jota.info/legislativo/indice-ajudou-a-prever-resultado-do-veto-de-ajuste-a-servidor-26082020 O acesso a ferramenta se dá pelo site do JOTA. Para tanto, basta ir ao site www.jota.info, clicar na palavra e informar login e senha. A palavra 'jurado' terá substituído a palavra 'login'. Clique nela e depois selecione a opção 'Aprovômetro'.  Login: jota@premioclaudioabramo.org Senha: jota2020 Esses dados podem ser compartilhados entre os jurados. ",JOTA,Adriano Laranjeira; Ana Beatriz Graça; Daniel Marcelino; Fernando Mello; Gustavo Leme; Gustavo Pinto; Jonas Andrade; Juliana Moreira; Lucas Helfstein; Paty Gomes; Raquel Alves; Stephany Tenório; Thaís Rigolon; Valentina Trevor; Vanessa Soares,"A ferramenta usa big data e inteligência artificial para prever quais projetos serão convertidos em lei e quais não vão prosperar no Congresso Nacional. O algoritmo combina mais de 3.000 variáveis para alcançar índices de acerto acima de 98% das proposições que são arquivadas e acima de 72% naquelas que acabam virando lei. São duas fases no modelo. Na primeira, usamos aprendizado não supervisionado para encontrar essas variáveis. Na segunda, passamos para aprendizado supervisionado. Um exemplo de sucesso foi a votação da Reforma da Previdência, quando tivemos a tendência de aprovação captada mês a mês pelo Aprovômetro. Em 23 de fevereiro de 2019, três dias depois de o projeto ter sido enviado ao Congresso pelo Executivo, o Aprovômetro dava 13,37% de chances de aprovação para a PEC 6/2019 – um começo auspicioso, dado que apenas uma em cada dez propostas é aprovada. Um relatório de análise feito por uma corretora de valores - disponível em pesquisa no google - e que circulou entre investidores brasileiros e estrangeiros em 24 de abril apontava para “incertezas acerca da tramitação da Reforma da Previdência e da capacidade de articulação do Governo”. Mas um dia antes, em 23 de abril, o Aprovômetro já apontava 73,25% de chances de aprovação da reforma. Em maio, o valor subiu para 86,31%. Em julho, a reforma foi aprovada na Câmara e posteriormente no Senado. Esta ferramenta é disponível para assinantes JOTA de um plano específico, com acesso restrito. O usuário informa o número do projeto de lei e tem acesso a informações, como a chance de aprovação naquele momento, o histórico de chances, além do número total de tramitações do projeto desde sua apresentação e nos últimos 30 e 90 dias. Os dados que o Aprovômetro gera, no entanto, são usados pela redação em matérias do site, disponíveis inclusive para os planos gratuitos do JOTA."
1 em cada 4 mulheres com deficiência que são agredidas tem mais de 65 anos,https://medium.com/labjorfaap/1-em-cada-4-mulheres-com-deficiência-que-são-agredidas-tem-mais-de-65-anos-4c152f99f8d3,LabJor FAAP,Bruna Furlan; Giovanna Conti; Izabella Ricciardi ,"A reportagem é uma análise da base de dados divulgada pela Secretaria de Estado dos Direitos da Pessoa com Deficiência, sobre a violência contra a mulher com deficiência. A análise se baseia no perfil dessas mulheres e no entendimento do porque esse fenômeno ocorre. A reportagem foi realizada por estudantes do 3º Semestre de Jornalismo da FAAP e supervisionada pelo professor Rafael Sbarai. "
Lagom Data - análises do coronavírus,https://www.lagomdata.com.br/coronavirus,Lagom Data e satélites em outras publicações,"Marcelo Soares (em O Globo, reportagem adicional de Rafael Garcia e Renato Grandelle; na Época, reportagem adicional de Alice Cravo e Constança Tatsch)","No começo de março, quando os dados da Covid começaram a ser registrados no Brasil e o governo federal os divulgava apenas agregados por Estado, comecei um monitoramento próprio, o primeiro do Brasil, buscando em todas as secretarias estaduais os dados detalhados por município. Depois surgiram outros. A partir desse monitoramento, comecei a publicar gráficos, mapas e textos com análises diárias no site da minha empresa, Lagom Data. Com a demanda por acesso aos dados, criei um serviço por assinatura no Catarse, que dava aos assinantes acesso a um navegador do histórico do monitoramento, que chamei de Máquina do Tempo. Em junho, comecei a observar os casos de Síndrome Respiratória Aguda Grave (SRAG), criando o Subnotificômetro para os assinantes. Folha de S.Paulo e O Globo, àquela altura iniciando o consórcio das empresas de mídia para coletar os dados por município como eu já fazia há três meses, manifestaram interesse em análises da possível subnotificação da Covid por meio da classificação genérica de muitos casos como SRAG de causa não especificada. A revista Época também me pediu um perfil das vítimas da Covid. Desde agosto, tenho distribuído aos meus assinantes uma newsletter com uma análise semanal sobre dados relacionados à Covid. Olhando de fora, parecem vários trabalhos diferentes. Mas eles têm uma unidade. "
"Forças Armadas pagaram R$ 2,6 milhões a empresas de militares da ativa",https://www.metropoles.com/brasil/forcas-armadas-pagaram-r-26-milhoes-a-empresas-de-militares-da-ativa,Metrópoles,Lucas Marchesini ; Raphael Veleda,"Militares da ativa são donos de empresas que vendem bens ou serviços para o batalhão onde trabalham. Para chegar a essa conclusão, foram cruzados três bancos de dados públicos e outros 3 obtidos via pedido da LAI."
Elas por Elas,https://www.metropoles.com/materias-especiais/elas-por-elas-os-numeros-por-tras-dos-feminicidios-em-2019-no-df,Metrópoles,"Lilian Tahan, Priscilla Borges, Maria Eugênia, Olívia Meireles, Érica Montenegro, Amanda Cieglinski, Ana Beatriz Magno, Ana Helena Paixão, Antonia Pellegrino, Basília Rodrigues, Bruna Sabarense, Carol Oliveira, Carol Pires, Carolina Nogueira, Carolina Vicentin, Clara Arreguy, Clara Averbuck, Conceição Freitas, Donas da Rima, Gabriela de Almeida, Isabella Cavalcane, Juliana Contaifer, Luísa Guimarães, Jak Spies, Maithe Marques, Maria Clarice Dias, Marina Oliveira, Nísia Bahia, Rafaela Lima, Roberta Gregoli, Raquel Martins Ribeiro, Regina Bandeira, Tânia Fusco, Tatiana Sabadini, Thaís Antonio, Thais Cieglinski, Denise Costa, Juliana Afioni, Mariana Reino, Viviane Novais, Stela Woo, Stephanie Arcas, Yanka Romão, Isabella Almada, Jacqueline Lisboa e Rafaela Felicciano","O Metrópoles se desafiou a contar a história de todas as vítimas de feminicídio do Distrito Federal em 2019. A equipe se dedicou 365 dias para apurar perfis de 33 mulheres com níveis sociais completamente diferentes, mas conectadas por uma realidade em comum: foram vítimas do ciclo de violência atrelado à cultura machista. Na trajetória de vida de cada delas, é possível mapear a escalada da violência. A morte chegou para elas após dias ou décadas de ameaças. Esse padrão de comportamento fica ainda mais claro a partir do levantamento de histórias e dados feito por 47 profissionais do sexo feminino (jornalistas, fotógrafas, artistas gráficas e cinegrafistas)."
Friends 25 anos: aquele com vários dados curiosos,https://www.metropoles.com/materias-especiais/friends-25-anos-dados-e-curiosidades-que-nem-todo-fa-conhece,Metrópoles,"Lilian Tahan, Priscilla Borges, Maria Eugênia, Ricardo Taffner, Rafaela Lima, Lucas Marchesini, Denise Costa, Gui Prímola, Stephanie Arcas, Allan Rabelo, Saulo Marques e André Marques","Se você tivesse que apostar, quem mais falou nos 236 episódios de Friends? Onde você provavelmente encontraria Monica, Chandler, Joey, Ross, Rachel e Phoebe se estivesse em Nova York? E mais: quantos “how you doing?” o nosso ator de novelas preferido falou?

Exatamente 25 anos depois, incorporamos Chandler – sim, apesar de ninguém se lembrar, ele trabalhava com análise estatística e reconfiguração de dados – e esmiuçamos a sitcom em uma série de informações."
Li o que você apagou. Os tweets deletados da gestão Bolsonaro,https://www.metropoles.com/brasil/li-o-que-voce-apagou-os-tweets-deletados-da-gestao-bolsonaro,Metrópoles,RAFAELA LIMA e LUCAS MARCHESINI,"Na manhã de 6 de março de 2019, em plena Quarta-feira de Cinzas, uma breve postagem feita no Twitter oficial do presidente Jair Bolsonaro (sem partido) virou assunto e ultrapassou os limites da world wide web. “O que é golden shower?”, perguntou o chefe da república brasileira, desassossegando o já não tão calmo Carnaval. Dias depois, como a ressaca, o post sumiu.

O polêmico texto foi apenas um entre os inúmeros apagados no último ano pelo primeiro escalão de “políticos-influencers” da república, composto por Bolsonaro, 11 ministros e os filhos mais velhos do presidente, usuários ativos da rede social do passarinho azul.

Por meio de um robô que monitora e captura posts deletados do Twitter, tornou-se possível avaliar e descobrir as publicações escritas e, em seguida, excluídas por eles. Seja para reescrever frases sem sentido, apagar ideias polêmicas ou remover erros de português, em 2019, mais de 703 posts (entre tweets e retweets) sumiram da rede do grupo. Isso sem contar os inúmeros que desapareceram após Carlos Bolsonaro sumir da rede social."
